GEOID,sovi,rank
g26037,-2.6778470319182417,2682.0
g26039,2.4965607859746086,436.0
g26041,1.6856092299908492,728.0
g26043,0.3805295002713167,1377.0
g26045,-1.5007555542791875,2326.0
g26047,-0.23810778120348486,1718.0
g26049,1.1602657855577412,956.0
g26051,1.9041890414378664,629.0
g26053,3.3118511913974724,283.0
g26055,-1.1619492273176428,2182.0
g26057,0.04636106500960191,1555.0
g26059,-0.6136658304806785,1930.0
g26061,-0.26678244543389684,1742.0
g26063,1.582510532329394,772.0
g26065,-0.45111602472607704,1852.0
g26067,-3.026969943357814,2762.0
g26069,5.4048194739518785,109.0
g26071,5.495164221943931,102.0
g26073,1.127793712700236,971.0
g26075,-0.4647045198932347,1858.0
g26077,-1.054980549473226,2131.0
g26079,0.4980686739693082,1308.0
g26081,-1.4756527489307634,2318.0
g26083,2.7921240816580175,375.0
g26085,5.089722361650157,122.0
g26087,-3.064352658407018,2771.0
g26089,0.5717873797094077,1260.0
g26091,-0.1393867884576362,1662.0
g26093,-5.500960943515188,3055.0
g26095,1.0420659097570062,1013.0
g26097,5.2280329247889075,116.0
g26099,-0.9892528086769348,2100.0
g26101,1.6441561293300895,744.0
g26103,0.14920893329884244,1493.0
g26105,1.867203963098418,639.0
g26107,-0.08185779434711149,1624.0
g26109,1.1006534659732279,984.0
g26111,-2.747422491114808,2698.0
g26113,-0.34794876068675795,1788.0
g26115,-1.8811899306904576,2459.0
g26117,-1.8744659362007488,2453.0
g26119,5.332717757369575,111.0
g26121,0.7499011895478112,1166.0
g26123,-1.000038743642249,2103.0
g26125,-3.783776662360897,2905.0
g26127,1.7496807930919491,696.0
g26129,4.692558548230176,136.0
g26131,3.8598870857559895,213.0
g26133,0.4559305172501007,1335.0
g26135,4.54961812258613,145.0
g26137,0.333618445838913,1404.0
g26139,-3.256403078698453,2811.0
g26141,2.797094078505464,372.0
g26143,5.510508068973975,100.0
g26145,1.9870434208843537,593.0
g26147,-0.7261747065999523,1985.0
g26149,-0.9230256094146769,2080.0
g26151,-0.2667171043936519,1741.0
g26153,4.474757958157216,149.0
g26155,-0.6969991858547561,1968.0
g26157,0.345080123308053,1395.0
g26159,0.38382746993531974,1375.0
g26161,-3.9783868057031992,2932.0
g26163,2.36931928228555,467.0
g26165,-0.23435383208362393,1717.0
g27001,3.7590951699180284,227.0
g27003,-4.948172511680797,3018.0
g27005,0.20891483166642222,1461.0
g27007,1.4281158266799592,836.0
g27009,-1.4268642414911021,2301.0
g27011,3.626893780530484,241.0
g27013,-2.0516368351967516,2508.0
g27015,-0.05462985796550246,1609.0
g27017,-0.8631783199565599,2051.0
g27019,-6.855848174078536,3110.0
g27021,1.8751355062977173,637.0
g27023,0.7172078332276522,1183.0
g27025,-4.557530346399453,2987.0
g27027,-1.136931319407922,2175.0
g27029,1.5492057247799096,788.0
g27031,2.3885594579563207,460.0
g27033,2.0854796551021115,555.0
g27035,0.4158543317338945,1352.0
g27037,-4.782142829127732,3006.0
g27039,-3.0906812811483255,2781.0
g27041,-0.5844986303989559,1913.0
g27043,1.074435399495941,997.0
g27045,0.923562772141533,1065.0
g27047,1.8879568264620092,633.0
g27049,-1.2335945186285122,2227.0
g27051,2.0280316970714614,581.0
g27053,-3.0466067510050037,2765.0
g27055,-0.3864962512652734,1809.0
g27057,0.40891669133586545,1357.0
g27059,-3.3421295436045324,2833.0
g27061,0.718191359111827,1181.0
g27063,-0.9772665253862662,2097.0
g27065,-1.1117437970201998,2162.0
g27067,0.033152979505942204,1564.0
g27069,0.6881821626686689,1199.0
g27071,1.3258167534193328,883.0
g27073,0.5335194445337278,1287.0
g27075,2.536738079947682,430.0
g27077,-1.6831675700421533,2390.0
g27079,-2.1387709583179215,2535.0
g27081,1.8735298120843091,638.0
g27083,-0.8000409750413109,2017.0
g27085,-2.09594784833673,2525.0
g27087,7.928450535956966,41.0
g27089,-1.6681962178812326,2387.0
g27091,0.2373715081803046,1449.0
